"X","rbd","cluster","Avg..SIMCE.Lang","Avg..SIMCE.Math","Public","SEP.status","X..Priority.Students","Diff.D1.GPA","Diff.D2.GPA","Diff.D9.GPA","Diff.D10.GPA","simce_math_min_4_D1","simce_math_min_4_D10","simce_math_min_4_D2","simce_math_min_4_D3D8","simce_math_min_4_D9","asistencia_4_D1","asistencia_4_D10","asistencia_4_D2","asistencia_4_D3D8","asistencia_4_D9","asistencia","n_total","n_D1","n_D2","n_D3D8","n_D9","n_D10","simce_math_min_4","min_math_school","min_lang_school","min_math_school_GPA_D1","min_math_school_GPA_D10","min_math_school_GPA_D2","min_math_school_GPA_D3D8","min_math_school_GPA_D9","min_lang_school_GPA_D1","min_lang_school_GPA_D10","min_lang_school_GPA_D2","min_lang_school_GPA_D3D8","min_lang_school_GPA_D9","min_math","min_math_D1","min_math_D2","min_math_D9","min_math_D10","impute_all","impute_pred_min_all","impute_pred_min_decile","impute_no","impute_pred_min_school","impute_pred_min_school_GPA"
1106,9091,2,269,257,1,1,0.306189,-0.768070350528467,-0.201116096732576,0,-0.0118635656338637,133.75,308.33,192.73,133.75,287.78,0.25,1,0.75,1,1,0.9,40,4,4,24,4,4,133.75,133.75,136.28,NA,308.33,192.73,133.75,287.78,NA,318.87,136.28,138.77,321.59,100.93,105.04,106.56,100.93,112.29,241.393,241.688752448749,242.131134735837,257,244.90855859107,NA
1107,9097,1,291,273,1,1,0.276423,0,0,0,0,166.42,301.86,227.06,182.56,289.14,1,1,1,0.95,1,0.96969696969697,66,7,7,40,6,6,166.42,166.42,130,166.42,301.86,227.06,182.56,289.14,183.51,301.6,190.72,130,323.78,100.93,105.04,106.56,100.93,112.29,267.785757575758,273,273,273,273,273
1108,9098,2,228,223,1,1,0.612971,-0.526198696955046,-0.247760969257118,0,0,265.47,190.93,170.19,150.84,201.13,0.4,1,0.666666666666667,0.888888888888889,1,0.847457627118644,59,5,6,36,6,6,150.84,150.84,140.97,265.47,190.93,170.19,150.84,201.13,264.82,186.57,169.05,140.97,234.2,100.93,105.04,106.56,100.93,112.29,204.379152542373,214.480839596783,214.805970931765,223,217.964015608289,223.563266992874
1109,9100,1,296,305,1,1,0.161996,0,0,-0.0640894363053186,-0.0204958971092922,207.81,298.37,188.54,228.81,279.15,1,0.933333333333333,0.933333333333333,0.988888888888889,0.866666666666667,0.966887417218543,151,16,15,90,15,15,188.54,188.54,147.39,207.81,298.37,188.54,228.81,279.15,147.39,307.82,180.95,187.72,274.82,100.93,105.04,106.56,100.93,112.29,298.242715231788,303.28529844471,303.308427589527,305,304.021442920914,304.821927179504
1110,9102,1,257,250,1,1,0.325773,-0.0368668527706725,-0.139972948258165,0,0,170.92,269.29,209.71,130.98,242.16,0.857142857142857,1,0.714285714285714,0.952380952380952,1,0.928571428571429,70,7,7,42,7,7,130.98,130.98,148.2,170.92,269.29,209.71,130.98,242.16,161.57,261.26,167.62,148.2,217.24,100.93,105.04,106.56,100.93,112.29,239.352142857143,247.363849086063,247.457806132421,250,247.895252688155,249.144505919757
1111,9103,1,247,233,1,1,0.565684,0,-0.158547096409365,-0.0869085552048869,0,182.33,270.8,189.78,110.81,239.93,1,1,0.8,1,0.833333333333333,0.96551724137931,58,6,5,35,6,6,110.81,110.81,162.41,182.33,270.8,189.78,110.81,239.93,229.56,311.3,162.41,164.24,239.47,100.93,105.04,106.56,100.93,112.29,228.445862068966,230.007505992597,230.084456005768,233,230.23137091872,232.471579830885
1112,9104,1,250,241,1,1,0.427642,-0.0705163428028768,0,-0.0428833487998677,0,199.37,241.65,201.09,148.67,166.56,0.727272727272727,1,0.818181818181818,0.964912280701754,0.9,0.919191919191919,99,11,11,57,10,10,148.67,148.67,149.06,199.37,241.65,201.09,148.67,166.56,149.06,193.23,196.5,176.66,186.36,100.93,105.04,106.56,100.93,112.29,229.681212121212,239.295796240764,239.327998703977,241,239.876639301133,240.351374609027
1113,9105,1,238,242,1,1,0.697044,0,0,0,-0.265074176757535,168.86,270.99,242.37,205.28,233.83,1,0.666666666666667,1,0.947368421052632,1,0.9375,32,3,4,19,3,3,168.86,168.86,173.31,168.86,270.99,242.37,205.28,233.83,173.31,222.18,220.06,195.21,240.71,100.93,105.04,106.56,100.93,112.29,233.183125,238.494311176701,238.776615174948,242,240.182419504246,242.720421911019
1114,9106,1,234,223,1,1,0.66759,0,0,0,0,246.17,264.07,172.27,171.62,262.63,1,1,1,1,1,1,37,4,4,23,3,3,171.62,171.62,160.81,246.17,264.07,172.27,171.62,262.63,192.52,267.69,184.11,160.81,199.36,100.93,105.04,106.56,100.93,112.29,223,223,223,223,223,223
1115,9110,2,272,262,1,1,0.58209,-0.0877948259416267,-0.253721704568561,-0.123850675939046,0,139.72,266.3,152.72,117.58,217.84,0.5,1,0.75,0.85,1,0.823529411764706,34,4,4,20,3,3,117.58,117.58,159.59,139.72,266.3,152.72,117.58,217.84,165.4,278.61,188.94,159.59,203.77,100.93,105.04,106.56,100.93,112.29,233.575882352941,253.768289547129,253.978794244934,262,254.619211376398,256.992447814295
