"","rbd","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","Diff D1 GPA","Diff D2 GPA","Diff D9 GPA","Diff D10 GPA"
"769","25630",1,213,206,1,1,0.564356,-0.369472850114107,0.0644470936059952,0.0694333612918854,0.0891697432597478
"770","11942",1,253,264,0,1,0.584795,-0.124651038019608,0.0778782580047845,0.0492875644990376,0.0539221051761082
"771","9033",1,279,275,0,0,0.19964,-0.0497865022884475,0.0632857839763165,0.0770806248486042,0.0543898874521256
"772","10090",2,261,281,1,1,0.66167,-0.14496453371644,-0.573512294888496,0.0470384693145752,0.0271815823515256
"773","10474",1,266,265,1,1,0.405086,0.0143594482541084,-0.0687310516991114,-0.074293378856447,0.0429682253996532
"774","9317",1,295,294,0,0,0.04661,0.0312912835045294,0.0775054862764146,0.0324024838209153,0.048922600261867
"775","10133",NA,241,246,1,1,0.764706,NA,NA,NA,NA
"776","10260",NA,222,214,1,1,0.464286,NA,NA,NA,NA
"777","24714",1,265,264,0,1,0.717791,0.083791332244873,0.109411177873611,0.165385383591056,0.0527454440295696
"778","10212",1,272,264,1,1,0.441624,0.0658553133159876,0.0776928432421251,0.0911550731956958,0.0133270117044448
"779","24445",1,219,208,1,1,0.825503,-0.0469392431515735,0.0546239753067493,0.0329715114831924,-0.230606359094381
"780","10199",1,247,227,1,1,0.351548,0.0359835680425168,0.133156690994898,-0.0917281263321638,-0.0822782126814127
"781","25865",1,219,218,0,1,0.397802,-0.00977994132041926,0.0314412677288055,0.105812804674109,0.0245228745539983
"782","9025",1,255,275,0,1,0.457711,0.147527106106281,0.0558316317796708,0.021717528551817,0.0163131806254387
"783","10042",1,280,286,0,1,0.288703,-0.00435595016181467,0.0321838672293557,0.0354339756284441,0.0506320704685317
"784","9147",1,273,279,0,1,0.525641,-0.443248785972595,0.0116102917989095,0.0749236262838046,0.0236657105386258
"785","10338",1,269,278,0,1,0.591241,-0.630513496398926,0.107035365104675,0.0305890063728605,0.0428268201649189
"786","31379",1,284,285,0,0,0.123711,0.0956080913543701,0.0265198508898418,0.198337759263813,0.0809813382228216
"787","25698",1,214,208,1,1,0.815,-0.295152421779931,-0.132587827617923,0.0614295254151026,0.0572006544470787
"788","25050",NA,250,268,0,1,0.528785,NA,NA,NA,NA
"789","26460",NA,278,278,0,1,0.447917,NA,NA,NA,NA
"790","26362",1,272,260,0,1,0.431319,-0.121021587351958,0.0292365115880966,0.0251447889208793,0.00570976376533505
"791","8739",1,293,289,0,0,0.170068,0.169406484464804,0.0997792719304562,0.0349648763239384,0.117752474620938
"792","9604",2,244,220,1,1,0.653169,-0.041055309275786,-0.225240751334599,0.0368666762113571,0.0358536255359649
"793","10428",1,225,206,1,1,0.833333,0.123851790428162,0.117800890505314,0.0394058980544408,0.0895489662885666
"794","8564",1,257,256,1,1,0.414063,0.0435569325834513,0.150238800644875,0.0849208174645901,0.0698710183799267
"795","9335",1,257,237,0,1,0.370787,-0.42101309388876,0.159864753782749,0.0423648235201836,0.0269850430885951
"796","31264",2,272,297,0,1,0.268199,-0.483878673017025,0.000327954689661625,0.000278175274531001,0.00029398500919342
"797","25101",2,283,281,0,1,0.281623,-0.437500913088972,0.0838400282929925,0.027386096074031,0.0364250646697151
